order_id,item_count
100,2
100006,8
1000088,14
1000117,4
1000121,18
1000188,8
1000212,6
1000252,2
1000269,11
1000296,18
1000413,13
1000430,3
1000447,6
1000456,4
1000497,17
1000552,11
1000557,5
1000558,9
1000574,1
1000598,14
1000611,3
1000618,2
100069,15
1000692,1
100072,21
1000792,13
100081,3
1000838,4
1000937,9
1000962,11
100098,4
1001009,20
1001010,17
1001018,3
100103,20
1001040,3
1001064,5
1001074,6
1001097,7
1001165,16
1001178,3
1001240,17
1001268,11
1001323,5
1001363,2
1001380,7
1001389,13
10014,4
1001404,12
1001408,14
1001423,11
1001489,14
1001567,4
1001597,2
1001640,15
1001749,6
1001820,3
1001837,3
1001839,11
1001850,25
1001861,19
1001917,5
1001949,9
1002097,4
1002136,16
1002160,10
1002274,5
1002283,2
1002292,4
100230,1
1002413,15
1002416,5
1002575,16
1002695,1
1002718,7
100275,16
1002890,21
1002923,4
1002932,8
1003013,4
1003019,5
1003046,1
1003049,10
1003088,17
1003089,15
1003126,1
1003248,2
1003309,4
1003329,4
1003438,5
1003447,18
100345,2
1003453,8
1003490,8
1003499,3
1003539,4
1003562,2
1003572,15
1003628,20
1003661,9
1003717,8
1003736,8
1003758,22
1003771,8
1003773,3
1003779,1
1003827,3
1003857,1
1003887,12
1003895,4
1003946,19
1004009,4
1004055,32
1004062,8
1004102,4
1004103,3
1004106,3
1004109,1
1004122,5
1004273,1
1004391,14
1004394,10
1004424,10
1004710,15
1004720,3
1004790,12
1004806,21
1004848,18
1004853,13
1004895,2
1005015,3
1005058,29
100507,4
1005109,14
1005123,5
1005151,4
1005176,6
1005208,2
1005214,2
100523,3
1005258,12
1005282,12
1005285,2
1005299,2
1005305,6
1005332,7
1005365,3
1005367,4
1005398,6
1005477,3
1005504,1
1005514,10
1005534,17
100554,7
1005559,6
1005601,13
1005610,3
100564,11
1005643,14
1005670,7
1005797,1
100588,21
1005888,1
1005901,14
1005912,20
1005932,2
1005991,14
1006027,10
1006040,7
1006079,30
1006085,8
1006110,3
1006131,2
1006158,6
100619,9
1006350,5
1006353,18
1006392,6
1006437,8
1006438,1
1006457,7
1006530,2
1006569,6
1006603,14
1006647,16
100670,7
1006744,20
1006756,2
1006817,5
1006875,3
1006879,6
1006966,4
1006981,1
1007067,4
100711,2
1007149,9
1007169,7
1007178,9
1007231,10
1007234,4
1007240,11
1007266,7
1007294,12
1007302,11
1007316,3
1007326,9
1007339,2
100737,2
1007399,2
1007436,1
1007437,20
1007461,7
1007490,19
1007499,23
1007501,12
1007503,9
1007518,8
1007542,6
100756,4
1007565,6
1007586,3
1007630,3
1007644,8
1007658,14
1007667,6
1007684,5
1007701,1
1007724,1
1007738,5
100777,6
1007819,4
100784,8
1007865,12
1007884,6
1007900,5
1007921,31
1007946,5
1007960,10
1007961,10
1007992,7
1008006,2
1008008,3
1008011,7
1008027,2
1008068,16
100808,3
1008130,3
1008182,2
1008261,3
1008262,11
1008401,2
1008487,7
1008526,7
1008534,2
1008569,9
1008601,2
1008608,10
1008644,3
1008668,8
1008671,9
1008683,16
1008687,9
1008720,5
100893,7
1008941,4
1008951,8
1008965,7
1008970,7
1008974,8
1009003,2
1009029,2
1009087,6
100913,3
1009147,10
1009162,6
1009171,7
1009175,9
1009239,6
1009305,3
1009320,18
1009367,5
1009386,23
1009401,2
1009431,1
1009515,24
1009524,4
1009560,4
1009602,11
1009603,8
1009635,2
100972,7
1009728,13
1009732,4
1009753,7
1009769,9
1009796,9
1009858,15
1010026,3
1010044,12
101005,20
1010105,6
1010143,6
1010175,2
1010176,21
101019,3
1010206,12
1010209,10
101027,5
1010281,9
1010283,5
1010308,8
1010354,1
1010381,2
1010396,6
1010399,9
1010494,12
1010562,6
1010612,2
1010614,14
1010620,6
1010630,12
1010645,11
1010651,13
101066,1
101068,7
1010743,19
1010759,1
1010793,9
1010811,20
1010823,2
1010902,8
1010933,5
101098,12
1010980,6
1011007,1
1011018,7
1011028,8
1011056,18
1011102,15
1011185,7
1011211,14
1011286,13
1011328,1
101133,5
1011332,2
1011333,14
1011375,7
1011418,4
1011569,4
1011626,12
1011641,8
1011674,5
1011705,8
1011735,5
1011758,3
1011776,6
1011792,1
101180,1
1011853,5
1011882,6
1011884,5
1011897,8
1011955,6
1011966,18
